source_id,issuer,official_title,requested_url,canonical_url,final_url,accessed_utc,document_date,sha256,collection_method,http_status,content_type,bytes,pdf_page_count,pdf_extraction_method,ocr_used,robots_status,corpus_status,rights_note,rights_status,raw_deployment_permitted,relevant_locators,derived_briefs,scope_note
PENSION-FORMS-LIST,Department of Pension and Pensioners' Welfare,Downloads: Application/Claim Forms,https://pensionersportal.gov.in/Forms/Applicationforms/mapplication.aspx,https://pensionersportal.gov.in/Forms/Applicationforms/mapplication.aspx,https://pensionersportal.gov.in/Forms/Applicationforms/mapplication.aspx,2026-08-28T08:53:16.139Z,2022-10-13 (page footer: Last Updated/Reviewed),561b5c0dc09e00c12693df795c7965cb0a890de4289fd2d5744cabe192d2ce76,playwright,200,text/html; charset=utf-8,109492,,not-applicable,false,not-found,summarised-in-ingest,Government of India web page. Linked and summarised only; not redistributed.,Government page; direct linking is permitted by the portal terms. Summary only; no raw deployment.,false,Current Form 10 and Form 12 entries | Archives section: Form 14,01-form12-pda-route.md | 02-form10-hoo-route.md | 05-form14-archived.md | 10-source-hierarchy.md | 13-form14-archived-hi-mr.md,Authority for which forms are current and which are archived. Lists Form 10 and Form 12 as current and Form 14 under Archives.
CCS2021-NOTIFICATION,Department of Pension and Pensioners' Welfare,"Central Civil Services (Pension) Rules, 2021 (Gazette of India, Extraordinary, Part II Sec. 3(i))",https://pensionersportal.gov.in/Document/CCS-Pension-Rules%202021-English.pdf,https://pensionersportal.gov.in/Document/CCS-Pension-Rules%202021-English.pdf,https://pensionersportal.gov.in/Document/CCS-Pension-Rules%202021-English.pdf,2026-08-28T08:53:27.107Z,2021 (Gazette notification),6e6595c1cb0d285ed9cbee436a6962ce96ab93bf4f5f37f4722aef0987f1b0a5,direct-http-pdf,200,application/pdf,5516888,111,pdfjs-page-boundaries,false,not-found,summarised-in-ingest,Gazette notification. Cited by rule and page; text not redistributed.,Gazette notification; linked and cited by rule/page. Summary only; no raw deployment.,false,"Rule 79, printed pages 176-178 / PDF pages 55-57 | Rule 80, printed pages 178-180 / PDF pages 57-59",01-form12-pda-route.md | 02-form10-hoo-route.md | 03-format9-bank-undertaking.md | 04-ccs-rule79-flow.md | 05-form14-archived.md | 07-form12-document-checklist.md | 08-name-consistency.md | 09-scope-and-boundaries.md | 10-source-hierarchy.md | 11-form12-route-hi-mr.md | 12-form10-route-hi-mr.md | 14-form12-checklist-hi-mr.md,Primary law. Rule 79(2) is the controlling provision for commencement of family pension after a pensioner's death.
CCS2021-COMPENDIUM,Department of Pension and Pensioners' Welfare,"Central Civil Services (Pension) Rules, 2021 — compendium",https://pensionersportal.gov.in/Document/CSS_PensionRules_2021_Book_Eng.pdf,https://pensionersportal.gov.in/Document/CSS_PensionRules_2021_Book_Eng.pdf,https://pensionersportal.gov.in/Document/CSS_PensionRules_2021_Book_Eng.pdf,2026-08-28T08:55:35.029Z,2021,ec7720a72613f5cf49bebef8f156a013fdbffd7ee07ebea9999dee3c1d04c1e4,direct-http-pdf,200,application/pdf,28416502,234,pdfjs-page-boundaries,false,not-found,verification-only,Departmental compendium. Used to cross-check the notification; not redistributed.,Departmental compendium used only to cross-check the Gazette notification; no raw deployment.,false,Rule 79 cross-check,,Cross-check copy. No corpus claim rests on this source alone.
FORM10-2021,Department of Pension and Pensioners' Welfare,Form 10 — Application to the Head of Office for Family Pension on Death of a Government Servant or Pensioner or on Death or Ineligibility of a Family Pensioner or when a Government Servant or Pensioner or Family Pensioner goes missing,https://pensionersportal.gov.in/Forms/pension_new_forms/Form10.pdf,https://pensionersportal.gov.in/Forms/pension_new_forms/Form10.pdf,https://pensionersportal.gov.in/Forms/pension_new_forms/Form10.pdf,2026-08-28T08:55:39.157Z,"2021 (form issued under CCS (Pension) Rules, 2021)",4565a291445d27f5462df935a1f402c0248c078db70bddb8b441aff0a59eff87,direct-http-pdf,200,application/pdf,177545,3,pdfjs-page-boundaries,false,not-found,summarised-in-ingest,Official form. Linked for download; the form itself is not redistributed.,Official form; linked for download and summarized. No raw deployment.,false,"Page 1 header | Page 3 document list, including item 19",02-form10-hoo-route.md | 08-name-consistency.md | 12-form10-route-hi-mr.md | 15-name-consistency-hi-mr.md,Alternative route through the Head of Office. Page 3 lists the documents to attach.
FORM12-2021,Department of Pension and Pensioners' Welfare,Form 12 — Application to be submitted to Pension Disbursing Authority by spouse/co-authorised family member for commencement of family pension on death of a pensioner or family pensioner,https://pensionersportal.gov.in/Forms/pension_new_forms/Form12.pdf,https://pensionersportal.gov.in/Forms/pension_new_forms/Form12.pdf,https://pensionersportal.gov.in/Forms/pension_new_forms/Form12.pdf,2026-08-28T08:55:42.042Z,"2021 (form issued under CCS (Pension) Rules, 2021)",2c31e3b794b0578f7a39781a1d078c4ba76726844f58dd584da28de5feb44f2a,direct-http-pdf,200,application/pdf,117104,2,pdfjs-page-boundaries,false,not-found,summarised-in-ingest,Official form. Linked for download; the form itself is not redistributed.,Official form; linked for download and summarized. No raw deployment.,false,Page 1 header and fields | Page 2 document list,01-form12-pda-route.md | 07-form12-document-checklist.md | 11-form12-route-hi-mr.md | 14-form12-checklist-hi-mr.md,Current primary route for a spouse named in the PPO. Header reads '[See Rule 79(2)]'. Page 2 lists the documents to attach.
FORMAT9-2021,Department of Pension and Pensioners' Welfare,Format 9 — Undertaking (refund of excess payment) to the pension disbursing bank,https://pensionersportal.gov.in/Forms/pension_new_format/Format9.pdf,https://pensionersportal.gov.in/Forms/pension_new_format/Format9.pdf,https://pensionersportal.gov.in/Forms/pension_new_format/Format9.pdf,2026-08-28T08:55:44.768Z,"2021 (format issued under CCS (Pension) Rules, 2021)",bd309aafa79948a5d84f981ec7a553d0c4ab0a6702fa00183bc37d51fc3308df,direct-http-pdf,200,application/pdf,129615,1,pdfjs-page-boundaries,false,not-found,summarised-in-ingest,Official format. Linked for download; the format itself is not redistributed.,Official format; linked for download and summarized. No raw deployment.,false,Page 1 header and body paragraphs 1-2,03-format9-bank-undertaking.md,Required attachment for both the Form 12 and the Form 10 route.
FAQ-CIVIL-2018,Department of Pension and Pensioners' Welfare,Frequently Asked Questions (FAQs) on Pension Policy Issues — Central Civil Pensioners,https://pensionersportal.gov.in/FAQ_Civil.pdf,https://pensionersportal.gov.in/FAQ_Civil.pdf,https://pensionersportal.gov.in/FAQ_Civil.pdf,2026-08-28T08:55:49.183Z,"2018 or earlier (predates CCS (Pension) Rules, 2021)",299aced9272913623d47829b1c0597f1ec17eca7a67d9ff14a52a0ac6a46caac,direct-http-pdf,200,application/pdf,363221,34,pdfjs-page-boundaries,false,not-found,summarised-as-superseded,Departmental FAQ. Cited only to mark superseded guidance; not redistributed.,Departmental FAQ; summarized only to identify superseded Form 14 guidance. No raw deployment.,false,Page 17: former Form 14 instruction,05-form14-archived.md | 10-source-hierarchy.md | 13-form14-archived-hi-mr.md,Superseded. Page 17 still directs claimants to Form 14. Recorded only so SevaPath can warn about that stale instruction.
PENSIONER-GUIDELINES,Department of Pension and Pensioners' Welfare,Guidelines for Pensioners,https://pensionersportal.gov.in/guidelines.aspx,https://pensionersportal.gov.in/guidelines.aspx,https://pensionersportal.gov.in/guidelines.aspx,2026-08-28T08:55:54.197Z,not stated on page,732f108fbb5663e40c70812cae51a1c0534df398d13211573347bf5a10d49205,playwright,200,text/html; charset=utf-8,111864,,not-applicable,false,not-found,summarised-in-ingest,Government of India web page. Linked and summarised only; not redistributed.,Government page; direct linking permitted by portal terms. Summary only; no raw deployment.,false,PPO verification and Pension Disbursing Authority guidance,08-name-consistency.md,General portal guidance. Used only for background such as PPO verification and contacting the PDA.
RBI2026-MD,Reserve Bank of India,"Reserve Bank of India [Disbursement of Government Pension by Agency Banks (ABs)] Directions, 2026 (Updated as on June 24, 2026)",https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13442&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13442&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=13442&Mode=0,2026-08-28T08:55:58.641Z,"2026-04-30 (RBI/DGBA/2026-27/399), updated 2026-06-24",c63119c2e0edda540888efdf9bb8ee1829b074534b1a74b2b4999a2de26a649f,playwright,200,text/html; charset=utf-8,157282,,not-applicable,false,unavailable,summarised-in-ingest,RBI Master Direction. Cited by paragraph number; text not redistributed.,Public RBI direction; linked and summarized by paragraph. No raw deployment.,false,Chapter I paragraphs 1 and 3 | Chapter VII paragraphs 21-24 | Chapter III(A) paragraph 8(i),06-rbi-2026-bank-handling.md | 16-bank-guidance-hi-mr.md,"Bank-side handling of family pension. Title in public_sources.json ('Government Pension Payment Directions, 2026') is an approximation; the retrieved official title is recorded here instead."
PORTAL-TERMS,Department of Pension and Pensioners' Welfare,Terms of Use / Disclaimer — Pensioners' Portal,https://pensionersportal.gov.in/disclaimer.aspx,https://pensionersportal.gov.in/disclaimer.aspx,https://pensionersportal.gov.in/disclaimer.aspx,2026-08-28T08:56:05.142Z,not stated on page,a416f5c2cbe457b5b7177978c19c93cbcc20227f3c14b3339b8a253bf2c4aa6a,playwright,200,text/html; charset=utf-8,103851,,not-applicable,false,not-found,rights-policy-only,Basis for the SevaPath rights policy. States the portal is not a substitute for the rules and that pages must not be loaded into frames.,Rights-review source; permits direct linking and disallows framing. No raw deployment.,false,Original rules disclaimer | Linking and framing terms,09-scope-and-boundaries.md,Not used for any factual pension instruction.
